i,input_text,output_text,input_cmi,output_cmi,delta
14,昨天我去公园散步，真的超级放松。 But then I suddenly remembered I had a meeting at 3 PM—完全忘了！ 赶紧打车回家，luckily the traffic wasn’t too bad.,哈哈哈太心有戚戚焉了！这种突然想起来有事的瞬间简直是心跳加速😅 还好你及时赶回去，下次记得设个闹钟提醒自己！,16.666666666666664,0.0,-16.666666666666664
15,"The new AI model 真的太强了，处理复杂任务一点都不费劲。 I tried debugging the code for hours, 最后发现只是少了个分号。 Their latest smartphone 续航能力惊人，but the camera still needs improvement.","哈哈太熟悉这种""少分号""的血泪史了！AI是强，但有时候还是得人肉debug才能找到这种""低级错误""。手机续航好确实救命，不过相机要是再升级一下，就完美了。",13.636363636363635,0.0,-13.636363636363635
16,"I was watching the NBA finals last night, 真的太精彩了！ The Lakers’ defense was on fire, 但最后关头还是输给了对手。 Next season I’ll definitely cheer for them again, 希望他们能卷土重来！",哎哟，那场真的可惜啊！LeBron和AD拼到最后，下赛季调整一下阵容，说不定又是一支冠军级别的队伍！🔥,12.0,0.0,-12.0
17,我的new laptop **真的太快了**，boot up 只要 **五秒钟**！ 这款AI **软件**可以auto-generate **整篇报告**，**省时又省力**。 你试过那个cloud storage **吗**？**免费版**就有 **15G空间**，**超划算**！,哇，这配置绝绝子！五秒开机简直飞起，AI生成报告确实是办公神器。我用过那个云盘，15G免费够我存好多高清壁纸了哈哈，还挺稳定的~,42.85714285714286,0.0,-42.85714285714286
18,1. 我刚买的new **MacBook Pro** 真的太强了，retina display **超清晰**，battery life 也比之前的**长好多**。 2. 这个AI **模型**用了最新的transformer **架构**，training speed **快了30%**，但inference 时还是有点**卡**。 3. 你帮我debug 这段**代码**吧，error message 显示**内存溢出**，我try 了好几次都fix 不了。,1. 这MacBook Pro确实牛，Retina屏看久了都不累眼，续航终于能撑过一天了哈哈。 2. Transformer架构确实强，训练速度提升明显，但推理卡顿可能得优化下batch size或者量化试试？,40.0,0.0,-40.0
19,The new AI model 真的太强了，处理复杂任务一点都不费劲。 I tried debugging the code for hours 但还是找不到bug在哪儿。 这款无线耳机的降噪效果超级好，worth every penny you spend on it.,哈哈，AI救命还救bug，耳机还能救耳朵，你这体验是全方位升级啊！下次debug不如先问问AI，没准儿它一眼就帮你扒拉出bug在哪儿躲着。,15.000000000000002,0.0,-15.000000000000002
20,I’ve been meaning to read that novel you recommended last month. 天气预报说明天会下雨，记得带伞出门哦。 Hopefully it won’t ruin our picnic plans though.,雨天野餐也别有风味，带上伞和热茶说不定更有情调呢！那本小说真的很适合这样的天气，记得读到第三章时留意细节，特别有意思。,5.000000000000004,0.0,-5.000000000000004
21,这个weekend我真的太**busy**了，要**finish**三篇report还得帮朋友**move**房子。 你**really**应该试试那家新开的火锅店，味道**super**正宗，老板还**gave**我们打折！ 我**just**发现我的手机**lost**在出租车上了，现在心情**super**复杂，不知道能不能**find**回来。,哇，周末安排得跟打boss一样，还夹杂着这么多情绪大起大落……手机丢了确实心塞，先试试打出租公司客服或者用定位回溯一下？实在不行就当给自己放个假，反正火锅店的折扣还能安慰到你哈哈。,0.0,0.0,0.0
22,1. 昨天的比赛 **was so intense**—最后一秒 **they scored a three-pointer** 真的 **blew my mind**！ 2. 我 **usually play basketball** 每周三次，但最近 **my knee’s been acting up** 所以 **gotta take it easy** 了。 3. 这场 **world championship** 的 **defense strategy** 太牛了，尤其是 **that last block** 简直 **game-changing**！,1. 那最后一球绝杀的瞬间我都快从沙发上跳起来了，心跳到现在还没平复… 2. 膝盖伤真的拖不起，我之前也是这样，休息几天试试冰敷+护膝，别硬撑啊。,47.61904761904761,0.0,-47.61904761904761
23,1. 昨天的NBA比赛太**fire**了，James **dropped** 40分还**抢**了12个篮板，简直**carry**全场！ 2. 我**plan**这个周末去**打**高尔夫，但**天气预报**说要**downpour**，可能得**cancel**了。 3. 这场**world cup**的**point**太**刺激**了，最后一分钟**绝杀**简直**让人**heart attack！,1. 确实牛，LeBron 这状态简直逆天，都快赶上06年的Flash模式了🔥 2. 那雨要是真下起来，换个室内高球（模拟器）也不错，或者直接约个麻将？😂,0.0,0.0,0.0
24,Last night’s game was insane—**那个绝杀太牛了**！ The coach said they need to **加强防守**，or the next match will be brutal. I can’t believe they lost—**这支球队实力明明不差**，just bad luck today.,绝杀看得我心脏都要跳出来了… 确实防守端有点松，下场对上强队怕是要吃大亏。不过运气也是实力的一部分吧，唉，希望他们调整好状态！,0.0,0.0,0.0
26,1. My phone 突然 **black screen** 了，得 **hard reset** 一下才能 **fix** 这个 **bug**。 2. 这个 **AI model** 的 **accuracy** 太低，我得 **fine-tune** 一下 **parameters** 才能 **reach** 90%。 3. 你 **download** 完那个 **app** 后，记得 **update** 到 **latest version**，不然会 **crash**。,1. 手机黑屏真急人，重启要是还不行可能得送修了。 2. 调参确实累，你试过改learning rate或者batch size吗？有时候小调整就有大效果。,13.33333333333333,0.0,-13.33333333333333
27,"The new AI model 真的太强了，but it still struggles with low-resource languages. 我昨天升级了显卡，now my rendering speed has almost doubled. They’re rolling out 5G 基站 in our area,so expect faster mobile data soon.",哇，你这升级速度跟AI进步一样快！5G一上，估计你手机流量都用不完了，哈哈。,9.999999999999998,0.0,-9.999999999999998
28,1. 昨天的比赛太**clutch**了，最后一秒**three-pointer**直接**swish**，我们队**reverse sweep**成功，简直**legendary**！ 2. 这个赛季他的**stats**爆炸，场均**double-double**，但教练还是说他**defense**太**weak**，得多练**footwork**。 3. 别看他**bench**那么久，一上场就**drop**了30分，网友都疯了，直喊“**MVP**！”“**carry**硬核”！,哈哈哈 这画面太刺激了，最后一秒swish那一下我都起鸡皮疙瘩了！这种reverse sweep简直是球迷的终极大餐🔥 那个场均double-double的哥们儿确实牛，但教练说得也对，现在的联盟不练防守真混不了。还有那个bench神将，突然drop 30分，网友们“MVP”喊成这样，我都快相信这是主角光环了😂,0.0,0.0,0.0
29,我的新laptop **超级卡**，可能得重装个system才能fix。 这个AI model **训练起来**特别cost performance，但效果确实很**牛**。 你那个phone **屏幕坏了**？快去apple store **看看**还能不能claim warranty。,唉，重装系统确实麻烦但管用… 你那个AI模型效果这么好，值得！我手机屏幕是摔的，苹果保修估计得看运气，先去试试吧😅,50.0,0.0,-50.0
30,1. 昨天的NBA比赛太**clutch**了，最后三秒**buzzer-beater**直接**reverse sweep**了对手！ 2. 我**favorite**的足球队又**输球**了，那个**referee**的**judgment**简直**离谱**到家。 3. 你**gym**里练**bench press**时，记得**保持呼吸**，别**伤到**自己**rotator cuff**！,1. 那最后一球绝对是今年最刺激的时刻了，看得我心脏都快跳出来了😱 2. 裁判这眼神是吃了什么啊…下次换个联赛看算了，气死人。,0.0,0.0,0.0
31,1. I was 正在看 *The Crown* 但是突然发现 my Wi-Fi **断了**，so frustrating! 2. 你有没有试过用 **baking soda** 洗 **水槽**？Super clean 而且 **一点儿都不贵**！ 3. My boss 让我 **加班** 到 8点，but he promised 会 **请我吃饭**—希望不是 *McDonald’s*!,1. 断网真的是太崩溃了！我之前看《王冠》看到关键剧情被卡过，气得我直接放弃睡觉了哈哈。 2. 必须试试！我家水槽油污重，小苏打真的这么神？比那些贵死的清洁剂强多了吧？👀,44.44444444444444,0.0,-44.44444444444444
32,这个新手机的AI功能真的太强了，it can even translate conversations in real time without lag。 我昨天试了那个cloud-based的编辑器，发现它处理大文件的时候特别稳，一点都不卡。 他们团队开发的quantum algorithm据说能提升30%的运算效率，不过还得看实际测试结果。,哇，听起来这手机和编辑器都快赶上科幻片里的配置了！量子算法要是真能稳定提升30%，那绝对是行业大杀器——你要是测过实际效果记得分享啊，我正好对这块感兴趣。,25.0,0.0,-25.0
33,我昨天去了那个 **supermarket** 买东西，结果发现打折的 **items** 都 **sold out** 了。 他总是 **like** 这样 **last-minute** 才告诉我，真的是 **too much** 了！ 这部电影的 **plot** 太 **cliché** 了，我看了五分钟就 **switch** 到别的 **channel** 去了。,唉，超市搞这种虚假折扣真的让人火大，每次都赶在你去之前秒没货😤 还有那电影，五分钟就看穿全剧情，还不如刷抖音呢…,0.0,0.0,0.0
34,1. 昨天的NBA比赛太**crazy**了，詹姆斯最后一秒**buzzer-beater**直接**reverse**了整个**momentum**，我们都**炸锅**了！ 2. 我**gym**里练**bench press**时突然**拉伤**了肩膀，教练说要**rest**两周，不然**old injury**会**复发**的。 3. 这场**derby**绝对**值回票价**，梅西和C罗在场上**互怼**，最后**点球大战**还**靠门柱**救了我们一命！,"1. 詹姆斯这球绝了，都38了还能上演这种大片，真的是""老而弥坚""的典范啊😤 2. 肩膀伤可大意不得，两周休息算轻的，我朋友上次硬撑结果**rest了半年**... 你现在冰敷了没？",0.0,0.0,0.0
35,我的新**laptop**配置超强，i7处理器加上32G **RAM**，跑**AI model**那叫一个**smooth**。 这款**smartwatch**的**battery life**确实有点短，充一次电才撑两天，有点**disappointing**啦。 他们团队最近在做一个**blockchain**项目，技术栈全是**open-source**的，真**hardcore**！,哇，你这配置确实牛，跑AI模型跟玩似的！智能手表续航是硬伤，换我我也得吐槽。他们团队这blockchain项目听起来超前沿，开源硬核范儿十足，牛逼！,0.0,0.0,0.0
36,The Lakers 真的太强了，昨晚那场比赛简直是大师级表现。 I can’t believe they pulled off that last-second shot—绝杀太刺激了！ 下周对阵勇士队，希望他们能 keep the momentum going.,哈哈是啊，那记绝杀我都看傻了！下周对勇士肯定是硬仗，但这赛季湖人的默契和韧性真的不一样，期待他们再来一场好戏🔥（虽然勇士也不是好惹的就是了）,17.647058823529417,0.0,-17.647058823529417
37,这个新手机的处理器速度真的快，**but the battery life is kind of disappointing.** **I tried enabling dark mode** 来省点电，效果还不错。 **The AI voice assistant** 有时候会误解我的口音，**so I have to repeat myself.**,暗色模式确实能救点命，尤其是OLED屏幕。AI助手的口音识别有时候真魔性，我一般切英文模式会好点（虽然也偶尔抽风）。,6.25,0.0,-6.25
38,"1. After that **绝杀进球** *yìjī*, the whole stadium just **炸了**—fans were screaming like crazy! 2. He **受伤** last season but **康复得特别快**, so now his **体能** is even better than before. 3. The coach’s **战术安排** was **太牛了**, totally caught the opponents off guard in the second half.",1. 那种**绝杀**的刺激感简直太爽了，现场的气氛绝了！你当时在场看的吗？ 2. 这种**康复速度**也太逆天了吧，体能还逆袭升级，简直主角光环附体😂。,0.0,0.0,0.0
39,"1. I was **超级累** after work yesterday, so I just **躺** on the couch and binged Netflix for hours. 2. She always says **""别客气""** when I thank her, but I still feel bad for not **带** anything to her party. 3. If you **不确定** how to fill out this form, just **问问** the guy at the front desk—he’s super helpful.",1. 太理解了，有时候就得这样给自己充充电，不然真的撑不下去哈哈。 2. 她应该是真心实意的，下次带个小点心或手写卡片也能表达心意呀～,0.0,0.0,0.0
40,我昨天去超市买了很多东西，but forgot to check the expiration date on the milk。 这周末打算在家里好好休息一下，because I’ve been working overtime all month。 他的新发型看起来有点奇怪，honestly it reminds me of a mushroom.,哈哈哈，mushroom head真的太形象了！周末好好补觉，顺便检查下牛奶有没有变质，别浪费了你的辛苦钱。,12.5,0.0,-12.5
41,1. 我刚刚**debug**了半天那个**algorithm**，结果发现是**database connection**的问题，真**气人**！ 2. 这个新**AI model**的**accuracy**确实很高，但**training**起来太**耗时**了，我**电脑**都快**炸**了。 3. 你帮我**check**一下这段**code**，为什么**output**总是**乱码**？我**实在看不懂**哪里出了**bug**。,1. 这种低级错误真的太“魔幻”了，数据库连接问题还能伪装成算法bug，气得我都想砸键盘... 2. 高精度模型就是“富婆”，又要马儿跑又要马儿不吃草，你电脑这配置怕是得升级了（笑哭）,0.0,0.0,0.0
42,1. I was 正在看 movie last night 但是 suddenly 断网了，super annoying! 2. 这个 weekend 我要 go shopping 买点 新衣服，maybe 顺便 eat some 好吃的。 3. My boss 让我 finish this report by 明天，but I 还没开始呢—so 焦虑！,1. 断网真的太崩溃了…尤其是看到精彩部分的时候，气得我当时都想砸路由器！ 2. Shopping加美食，周末过得比我还滋润哈哈，有什么推荐的好吃的吗？,40.625,0.0,-40.625
43,"我的new laptop **真的太快了**，boot up 只要五秒钟！ 这款AI **软件**虽然很强，但有时候会**自动crash**，让人有点**头大**。 你帮我**检查下**这个**代码**，看看为什么**一直show** ""404 error""。",哇塞，五秒启动确实飙速！AI软件crash可能是内存占用或驱动冲突，我先帮你看下代码——404 error通常是路径/接口地址写错了，或者服务器端资源不存在。把报错的那段代码贴我一下，顺便看看你的request URL是啥？👀 *(P.S. 你这laptop配置啥样？我都有点羡慕了haha)*,50.0,0.0,-50.0
44,1. 我昨天去了那个 **super crowded** 的市场，结果**bought**了一堆**useless stuff** 回来，真**后悔**！ 2. 他总是**likes to** 找些**excuses** 来**逃避**工作，**but** 这次老板终于**看不下去**了。 3. 这部电影的**plot** 太**cliché** 了，可是**special effects** 真的**超级牛**，让我**看得**有点**overwhelmed**。,"1. 哈哈哈太熟悉这种""买了就后悔""的体验了，下次去之前得先问问自己：""我真的需要这个吗？""（然后可能还是会买） 2. 这种人现实中太多了，老板终于爆发肯定是积攒了N个""小太阳""的怒气吧😂",0.0,0.0,0.0
45,1. 昨天的NBA比赛太**crazy**了，最后三秒**buzzer beater**直接**reverse**了整个**局势**！ 2. 我**training**的时候总是**拉伤**腿，**coach**说我的**warm-up**不够**到位**。 3. 这场**football match**的**var**判罚太**离谱**了，**offside**都能吹成**点球**？,1. 那球绝了，最后一投简直电影级反转，看得我心脏都要跳出来了！ 2. 热身确实关键，我之前也老拉伤，后来加了动态拉伸和泡沫轴就好多了，你试试？,0.0,0.0,0.0
46,去年梅西突然加盟国际迈阿密，真的让球迷们都炸锅了。 The referee’s call in the final minute was absolutely controversial. 决赛最后一分钟的判罚简直太有争议了，大家都在吐槽呢。,哈哈是啊，梅西去迈阿密那会儿朋友圈全是“谁还敢说美职联不看了”的，现在又被裁判整活儿了… 这球迷的心脏真受不了！,16.666666666666664,0.0,-16.666666666666664
47,"所以我只好在家看了一天的电视。 Next time I’ll check the weather forecast first, 免得又浪费一天时间。",哈哈，确实得提前看天气预报，不然出门就成赌运气了。下次运气好点，别让电视剧把你留家里！,19.999999999999996,0.0,-19.999999999999996
48,"Last night’s game was insane—**那个三分球太关键了**！ The refs made some questionable calls, **简直就是瞎判**。 He’s training like a beast **为了下个月的比赛**， no days off.",哈哈太懂了，那种关键球进了整个人都精神百倍！不过裁判确实有时候**眼神不太行**，气死个人。他这劲头保持下去，下场比赛绝对**要火**🔥！,0.0,0.0,0.0
49,这个新手机的处理器速度真的快，**but the battery life is kinda disappointing.** **AI tools** 现在越来越智能了，连我的工作都能帮上不少忙。 你试过用 **cloud storage** 备份数据吗？比U盘方便多了，还不占地方。,确实，云存储超级方便，尤其是出差或换设备的时候——随时同步，再也不用担心U盘丢了或坏掉。AI工具现在连PPT都能帮我一键生成，省时又省力，就是有时候得检查下细节哈哈。,37.5,0.0,-37.5
50,这个新手机的处理器真的太强了，it can handle AAA games without any lag at all. I tried the latest AI translation tool yesterday，但翻译出来的结果还是有点儿生硬。 Their cloud storage service 最近又涨价了，so I’m considering switching to a local NAS setup.,哇，这配置确实牛，玩游戏都跟PC端一样流畅了！AI翻译现在还是有点儿“机器味儿”，不过NAS自己搭起来倒是挺香的，数据安全还省心，你考虑哪个品牌呢？,9.677419354838712,0.0,-9.677419354838712
51,"1. 我昨天去了那个 **new café** 但发现 **menu** 上的 **prices** 真的有点 **off the chart**—**太贵了**！ 2. **Honestly**, 这种 **weather** 让我 **super 不想出门**，干脆在家 **binge-watch** 两集 **drama** 算了。 3. 他总是 **show off** 自己的 **coding skills**，但其实 **core logic** 经常 **bug 一堆**，**真的很尴尬**。",1. 太卷了吧，现在咖啡店都敢收智商税了… 你点的啥？一杯拿铁还附赠“社交资本”吗？ 2. 同感，这种阴湿冷直接激发我的“躺平”基因，我昨天就用《狂飙》当暖炉了😂。,8.333333333333337,0.0,-8.333333333333337
52,1. 昨天的NBA比赛太**clutch**了，最后三秒**buzzer beater**直接**reverse**整个**局势**！ 2. 这支球队的**defense**实在太**loose**，老让对手**fast break**得手，**防守**简直形同虚设。 3. 教练说我的**shooting form**有问题，非让我**调整**手腕角度，不然**three-pointer**永远**稳定**不了。,1. 最后那球真的是大心脏，三分线外飙射还来个绝杀，看得我都起鸡皮疙瘩了！ 2. 防守端确实漏洞百出，对手快攻跑起来跟无人之境似的，得好好练练**transition defense**了。,0.0,0.0,0.0
53,今天天气真好，让人心情特别舒畅。 I should probably go for a walk before it gets too hot. 不过先喝杯咖啡提提神再说。,享受这阳光和咖啡的完美搭配！走走停停的节奏刚刚好，别忘了带把伞，午后的太阳有点小狡猾~,14.28571428571429,0.0,-14.28571428571429
54,我的新laptop **超级卡**，得重装个system才行。 那个AI **模型**训练完之后，accuracy **居然**只有60% **左右**，**太离谱了**。 你帮我debug **一下**这段code，**怎么**老是报memory leak **的错误**？,这也太倒霉了… 先说laptop，重装系统前记得备份数据啊！代码的问题我瞅瞅——memory leak通常是忘了release资源或者循环里不断分配内存，你把报错具体log贴一下，我帮你定位是哪块的问题。,25.0,0.0,-25.0
55,1. My 新手机的 camera **真的太清晰了**，but the battery drain is **有点严重**。 2. 这个AI tool **帮我省了不少时间**，though sometimes it still needs **人工调整一下**。 3. You got the **最新版本的** firmware right? **装完之后** the lag issue **完全没了**。,1. 清晰度高确实爽，但续航拉胯啊…你试过调低刷新率或者关闭后台AI优化吗？ 2. AI是省事，但关键时刻还是得人肉把关哈哈，你一般都调哪些部分？,9.523809523809524,0.0,-9.523809523809524
56,1. 我昨天去了那个 **super crowded** 的市场，结果**bought**了一堆**useless stuff** 回来，真**后悔**！ 2. 他总是**say**些**nonsense**，然后**blame**别人**不懂 humor**，真的**很无语**。 3. 这个**app**真的**太好用**了，**saves**我**super much time**，**recommend**大家都**试试看**！,1. 哈哈哈太熟悉这种“后悔购物体验”了，我上次也被一个“限时特价”忽悠买了台会唱歌的拖把😂 2. 这种人还真多，自称“幽默大师”实际上就是在胡说八道，气得我都想给他发个“幽默证书”💀,50.0,0.0,-50.0
57,"I was thinking about dinner just now, 但是冰箱里什么都没有。 The weather forecast says it’ll rain tomorrow, 记得带伞出门哦。 She promised to call back, 结果又放我鸽子了。","唉，冰箱空空如也的感觉太心塞了… 明天带伞还得带点外卖回家备着！她这""鸽王""称号是实至名归了，下次直接说""别等我""得了。",13.636363636363635,0.0,-13.636363636363635
58,"I was thinking about dinner earlier, 但是冰箱里什么都没有。 最近天气真的太热了， I can’t even focus on work. 我明天要去医院， hope it’s nothing serious.",真倒霉，冰箱空空还赶上这鬼天气… 你明天检查完记得告诉我结果啊，希望真的就是虚惊一场！先喝点凉的东西降降火吧。,15.789473684210531,0.0,-15.789473684210531
59,"I was thinking about dinner earlier, 但是冰箱里什么都没有。 The weather forecast says it’ll rain tomorrow, 记得带伞出门哦。 She promised to call at 8, 结果又放我鸽子了。",真倒霉，饥肠辘辘还被放鸽子… 明天下雨记得穿防水鞋，别只顾着伞还淋湿裤脚了。,14.28571428571429,0.0,-14.28571428571429
60,"I was thinking about dinner last night, 但是实在太累了。 今天的天气真好， so I decided to go for a walk in the park. My phone died halfway, 结果只能坐公交回家。",真的是，好天气就该出门透透气！手机没电还得坐公交，感觉突然回到了十年前哈哈。,12.0,0.0,-12.0
61,"1. After that **绝杀进球** *kèshā jìnqiú*, the whole stadium just **炸了** *zhàle*—you could feel the energy from the stands! 2. His **传球** *chuánqiú* accuracy is insane, but today he **发挥失常** *fāhuī shīcháng* and kept missing easy passes. 3. The coach said we need to **加强防守** *jiāqiáng fángshǒu* in the second half, or we’ll **输得很难看** *shū de hěn nánkàn*.",那种绝杀瞬间真的太燃了，全场都跟着一起疯了！不过第二点确实可惜，手感不好的时候就是魔咒，连简单球都飘… 最后一场防守不给力，真的会被打成筛子，希望他们半场调整得过来！,0.0,0.0,0.0
62,Last night’s game was insane—**那个三分球太关键了**！ The Lakers really need to step up their defense **否则季后赛又要一轮游**。 **这次换人安排有点奇怪**， but I guess the coach knows best.,那个三分真救命，最后一秒都快心脏停了！确实防守端太松，季后赛碰强队不改进真危险。换人调整有点出乎意料，不过先看看接下来几场效果吧。,0.0,0.0,0.0
63,"我昨天在supermarket买了好多 **水果**，结果发现有的已经**坏了**。 这部**电影**的plot twist真的**太惊喜**了，我完全**没想到**！ 他总是say **""没问题""**，但最后还是**搞砸**了整个**计划**。",哇，水果坏掉真的超气人！不过电影的plot twist倒是给你报仇了哈哈。而那个“没问题哥”绝对是职场/生活中的经典反派设定😂,0.0,0.0,0.0
64,我昨天去了那个 **supermarket** 买东西，结果发现 **sold out** 了好多东西。 他总是 **say** 什么“别 **worry**”，但自己却 **stress** 得要命。 这部电影的 **plot** 真的太 **twisted** 了，我看得都 **confused** 了。,哈哈哈太真实了，超市一空架子就跟电影情节似的，现实比剧本还魔幻😂 你这英中混搭说的我脑子都跟着打结了，下次一起看电影我给你当同声传译！,0.0,0.0,0.0
65,我的新**laptop**配置特别高，i7处理器加上32G **RAM**，跑**AI model**那叫一个**smooth**。 这款**smartwatch**的**battery life**确实有点短，才充了一天电就**low battery**了，真**让人头大**。 他们团队最近在**debug**那个**app**，发现**backend**的**logic**全乱了，**赶鸭子上架**临时改了半宿。,哈哈，这配置确实牛，跑AI模型跟玩似的！手表续航不行就天天带充电宝吧，跟带个宠物一样😂 那后端逻辑乱成那样，改到半夜还真够“硬核”的，希望别留下什么隐患bug。,0.0,0.0,0.0
66,"The new AI model 真的太强了，处理复杂任务一点都不费劲。 I tried debugging the code all night, 但最后发现只是少了个分号。 Their latest smartphone 续航确实提升了，不过价格也涨得有点离谱。","哈哈哈，分号这种事儿真的是程序员的永恒梦魇！AI是强，但有时候人类的小马虎才是最大的bug。手机续航长了确实香，但价格一涨就又回到""买得起吃不起""的哲学问题了。",17.647058823529417,0.0,-17.647058823529417
67,我昨天买了个新**laptop**，但是它的**battery life**真的太**short**了，才撑两个**hour**就没电。 这款**AI tool**的**accuracy**确实很高，不过**user interface**有点复杂，我得**spend**时间**study**一下**tutorial**。 他让我帮忙**debug**那个**code**，结果发现**error**全在**data preprocessing**的步骤里，真**headache**啊！,哇，这电池续航也太摆烂了吧…两小时就没电，跟手机似的😅 那个AI工具UI复杂倒还好，最怕是debug半天发现问题出在预处理上，简直心累。,0.0,0.0,0.0
